,CIC0,SM1_Dz(Z),GATS1i,NdsCH,NdssC,MLOGP,LC50 [-LOG(mol/L)]
628,1.892,1.441,0.776,0.0,0,3.426,6.087
629,3.402,0.604,1.517,0.0,0,3.451,5.086
630,3.219,0.811,1.127,0.0,0,2.604,4.759
631,3.137,0.251,1.335,0.0,0,1.141,2.412
632,3.195,0.496,1.133,0.0,1,2.222,4.446
634,3.343,1.068,0.923,0.0,0,2.538,3.327
635,2.126,1.278,0.896,0.0,0,4.634,5.361
636,2.019,1.126,0.793,0.0,0,3.314,4.737
637,2.217,0.764,0.859,1.0,0,2.269,5.308
638,2.019,1.126,0.793,0.0,0,3.314,5.001
639,2.025,0.932,0.851,1.0,0,2.212,4.672
641,1.946,0.223,1.929,0.0,0,-0.172,0.534
642,3.651,1.151,0.911,0.0,2,2.278,4.54
643,3.252,0.223,1.077,0.0,0,2.51,4.093
644,2.987,1.076,0.921,0.0,1,3.318,6.077
645,3.405,0.251,1.56,0.0,0,1.272,4.132
646,2.43,0.496,0.849,0.0,1,1.237,3.133
647,2.233,1.07,0.841,1.0,0,3.377,5.251
648,2.065,1.062,0.852,0.0,0,2.463,4.399
649,2.469,0.582,0.913,0.0,0,2.688,4.002
650,3.08,0.223,1.583,1.0,0,1.442,3.757
651,1.634,0.798,1.093,0.0,0,0.68,2.569
652,3.596,0.972,0.941,0.0,1,4.179,4.828
653,1.634,0.713,1.19,0.0,0,0.501,2.319
654,3.675,1.112,1.314,0.0,1,3.474,4.706
655,3.333,0.405,0.963,1.0,0,2.974,4.632
656,2.396,0.223,1.778,0.0,0,0.347,0.778
657,2.026,0.223,1.667,0.0,1,0.202,0.855
658,1.751,0.629,1.483,0.0,0,-0.317,0.361
662,0.973,0.988,1.489,0.0,1,0.18,2.725
664,3.029,0.331,2.13,0.0,1,0.967,1.885
665,3.003,0.134,1.413,0.0,0,2.242,2.647
666,3.74,0.134,1.581,0.0,0,2.274,4.396
668,3.86,0.223,1.55,0.0,1,3.661,4.51
669,3.98,0.223,1.723,0.0,0,2.894,4.703
670,1.783,0.331,1.667,0.0,0,0.087,1.777
671,2.126,0.251,1.719,0.0,0,0.087,2.458
673,3.065,0.923,1.317,0.0,0,1.271,2.015
677,3.027,0.331,1.011,0.0,1,1.807,3.009
678,2.448,0.638,0.921,0.0,0,1.701,3.513
679,3.461,0.223,1.111,0.0,1,2.357,3.393
681,2.479,0.887,0.954,0.0,0,1.748,4.208
682,3.676,0.405,1.524,0.0,1,2.289,3.976
683,3.033,0.693,1.312,1.0,0,1.21,4.832
684,2.684,0.988,1.226,0.0,1,3.076,4.404
685,2.396,0.223,1.778,0.0,0,0.347,1.121
686,2.748,0.223,1.705,0.0,0,0.8,1.589
687,3.035,0.223,1.662,0.0,0,1.209,2.217
688,2.585,0.4022,0.917,0.0,0,2.255,3.502
689,1.439,1.079,1.867,0.0,0,2.226,3.402
692,2.526,0.713,1.201,1.0,0,2.213,3.561
697,2.926,0.582,1.939,0.0,0,1.548,3.046
698,4.166,0.134,1.556,0.0,0,4.098,5.912
700,4.536,0.223,1.29,0.0,0,4.907,6.634
701,3.134,0.223,1.319,0.0,0,1.795,4.804
702,2.165,0.134,1.912,0.0,0,-0.172,2.3
707,0.965,0.64,1.695,0.0,1,0.202,3.272
709,2.748,0.223,1.705,0.0,0,0.8,1.063
710,1.279,0.811,1.4006,0.0,0,0.58,2.925
711,3.08,0.223,1.583,0.0,1,1.442,3.061
714,1.701,1.443,1.905,0.0,0,2.957,4.44
718,3.641,0.331,1.933,1.0,0,1.971,3.246
719,2.137,0.223,1.179,0.0,0,0.655,3.841
720,3.514,0.441,1.375,2.0,2,3.038,4.465
721,3.668,0.134,1.132,0.0,0,2.502,3.782
722,2.632,0.429,1.176,0.0,0,1.074,2.975
726,3.277,0.223,1.633,0.0,0,1.587,2.182
727,2.866,0.223,1.288,0.0,0,1.442,1.906
729,2.08,1.033,0.902,0.0,0,3.157,3.693
731,3.191,0.223,1.154,0.0,0,1.737,2.686
736,2.748,0.223,1.705,0.0,0,0.8,1.691
737,2.024,0.83,1.761,0.0,0,2.226,2.928
738,2.665,0.251,1.762,0.0,0,-0.534,1.817
739,2.748,0.223,1.705,0.0,0,0.8,1.305
740,2.462,0.223,1.625,0.0,1,0.655,1.352
741,2.377,0.331,1.734,0.0,0,-0.534,1.474
742,3.2,1.531,1.059,0.0,0,3.089,6.16
743,1.439,1.079,1.867,0.0,0,2.226,3.213
746,2.024,0.405,2.065,0.0,1,0.133,2.269
747,1.5,1.278,1.868,0.0,0,2.604,3.916
749,3.383,1.408,0.892,0.0,0,4.804,5.44
752,3.776,0.405,0.92,0.0,0,3.306,4.691
753,3.39,0.934,0.889,0.0,0,4.436,5.264
754,3.645,0.223,1.155,0.0,0,3.105,4.81
755,3.921,0.251,1.398,0.0,0,1.622,3.416
757,2.507,0.405,1.652,0.0,2,0.888,2.495
759,2.377,1.278,0.974,0.0,0,4.658,5.372
761,2.523,0.56,1.602,1.0,1,0.052,4.384
762,3.361,0.223,1.342,0.0,0,2.129,5.485
763,3.7,0.223,1.556,0.0,1,3.358,3.971
764,2.818,0.83,1.386,0.0,0,2.899,3.92
765,3.465,0.7062000000000002,0.802,0.0,0,3.958,4.984
766,3.003,0.134,1.032,0.0,0,2.152,4.171
768,3.26,0.405,0.921,0.0,0,2.782,4.578
769,3.426,0.85,1.792,0.0,0,2.59,4.377
771,3.477,0.693,1.344,0.0,2,2.577,4.116
772,4.05,0.693,1.381,0.0,2,3.618,5.49
773,4.05,0.693,1.381,0.0,2,3.618,5.367
775,4.073,0.693,1.171,0.0,2,4.091,5.224
776,2.744,0.496,0.753,0.0,0,3.018,4.284
777,3.252,0.134,0.875,0.0,0,2.859,5.292
778,2.815,0.56,1.585,0.0,2,0.43,2.758
780,3.265,0.496,0.962,0.0,1,3.055,4.732
781,2.085,1.079,0.895,0.0,0,4.063,4.7816
785,1.417,0.898,0.648,0.0,0,2.042,4.421
786,2.118,0.934,0.913,1.0,0,2.956,4.988
787,1.925,1.16,0.801,0.0,0,3.314,4.499
788,2.536,0.429,0.871,0.0,1,1.237,2.537
789,2.43,0.496,0.946,0.0,0,2.241,3.568
790,1.822,0.829,0.834,0.0,0,2.509,3.731
791,2.125,0.638,0.831,0.0,0,1.348,2.939
792,3.098,0.93,1.075,0.0,0,2.702,6.236
793,3.26,0.811,0.702,0.0,0,4.412,6.298
794,2.982,0.496,1.151,0.0,1,1.783,3.522
795,2.019,1.126,0.793,0.0,0,3.314,4.73
796,2.508,0.58,0.941,0.0,0,1.701,3.789
797,3.461,0.223,1.12,0.0,0,2.813,4.672
798,2.233,0.64,0.92,1.0,0,2.37,4.75
799,2.477,0.405,0.876,1.0,0,1.667,4.725
800,3.394,0.4404,0.868,0.0,0,3.677,4.199
801,2.937,0.499,0.8,0.0,0,3.945,4.849
802,3.012,0.223,0.76,0.0,0,2.637,4.538
803,3.315,0.223,0.799,0.0,0,3.127,4.507
804,2.11,1.15,0.72,1.0,0,3.157,5.518
805,4.278,0.405,1.345,0.0,0,3.546,4.668
806,3.179,0.2052,0.805,0.0,0,3.386,4.322
807,2.834,0.134,1.009,0.0,0,2.066,3.448
808,2.448,0.638,1.121,0.0,0,1.701,2.904
809,3.921,0.134,1.789,0.0,0,2.502,3.861
810,3.532,0.134,1.518,0.0,0,2.813,3.959
811,3.585,0.331,1.491,0.0,0,2.224,3.53
812,3.086,0.948,0.751,0.0,0,3.586,5.107
813,3.465,0.4606,0.837,0.0,0,3.876,4.809
814,3.315,0.223,0.799,0.0,0,3.127,4.44
815,1.855,1.179,1.44,0.0,0,1.587,2.838
817,2.137,0.223,1.179,0.0,0,0.655,3.288
818,3.036,0.405,1.205,0.0,1,2.351,4.247
819,3.111,0.405,1.05,0.0,2,1.756,5.169
820,2.677,0.331,1.582,0.0,1,0.586,2.895
821,1.962,1.345,0.783,0.0,0,3.617,5.348
822,2.442,0.934,0.984,0.0,1,2.991,4.208
823,3.171,0.134,1.011,0.0,0,2.186,3.984
824,2.982,0.496,1.151,0.0,1,1.783,3.665
826,2.43,0.496,0.83,1.0,0,1.132,4.628
827,2.435,1.113,1.109,0.0,1,2.354,2.839
828,3.247,0.874,1.221,0.0,1,2.659,4.262
829,2.928,1.113,1.185,0.0,1,2.927,4.141
830,3.235,1.131,0.996,0.0,0,2.723,5.354
831,3.177,0.629,0.871,0.0,0,3.315,3.365
832,2.495,0.56,0.835,1.0,0,1.099,4.023
833,2.233,0.57,0.883,0.0,0,1.501,3.325
834,3.179,0.37920000000000004,1.063,0.0,0,2.942,3.811
835,2.728,0.223,0.953,0.0,0,1.859,3.897
836,2.62,0.499,0.99,0.0,0,3.21,4.23
837,2.126,0.83,0.899,0.0,0,3.478,4.194
838,2.216,0.582,0.839,0.0,0,2.127,4.353
839,2.62,0.288,0.839,0.0,0,3.045,3.753
840,2.834,0.134,0.95,0.0,0,1.859,3.12
841,2.086,0.64,0.838,0.0,0,2.127,3.995
842,3.407,0.8747999999999999,1.111,0.0,0,3.259,4.192
843,3.012,0.223,1.023,0.0,0,2.193,3.92
844,2.477,0.83,0.983,0.0,0,3.795,4.54
845,2.477,0.83,0.983,0.0,0,3.795,4.743
846,2.08,0.891,0.816,0.0,0,2.7556000000000003,4.332
847,2.888,0.251,0.944,0.0,0,1.246,1.935
848,2.08,0.891,0.816,0.0,0,2.729,4.989
849,2.126,1.278,0.896,0.0,0,4.634,5.815
850,1.925,1.16,0.801,0.0,0,3.314,5.192
851,3.69,0.223,0.883,0.0,0,3.887,6.644
852,3.814,0.331,1.225,0.0,1,3.345,3.698
854,2.824,0.223,1.051,0.0,0,1.533,4.05
855,1.855,1.067,1.244,0.0,0,1.587,3.487
856,2.802,0.223,1.6,1.0,0,1.064,3.937
857,1.92,1.079,1.738,0.0,0,2.604,3.408
858,2.802,0.223,1.6,0.0,1,1.064,1.748
859,2.435,0.331,1.532,0.0,1,0.586,2.014
860,3.611,0.331,2.017,0.0,0,1.393,2.859
861,2.215,0.887,0.888,0.0,0,1.395,4.084
862,3.16,1.028,0.809,0.0,0,3.842,5.939
864,1.965,0.405,1.169,1.0,0,-0.145,3.66
865,1.783,0.629,0.75,1.0,0,0.736,3.46
866,2.348,0.762,0.85,0.0,0,2.621,3.769
867,3.461,0.223,1.12,0.0,0,2.813,4.463
868,3.407,0.8747999999999999,1.111,0.0,0,3.259,4.279
869,2.824,0.223,1.0,0.0,1,2.102,2.87
870,2.233,0.64,0.92,0.0,1,2.102,3.615
871,2.08,0.496,0.858,0.0,0,1.887,3.022
872,2.434,1.17,0.996,1.0,0,1.391,3.575
873,2.765,0.331,0.951,0.0,1,1.49,2.55
874,2.43,0.496,0.946,0.0,0,2.241,3.66
875,2.252,1.075,0.885,0.0,0,2.005,5.303
876,2.508,0.58,0.941,0.0,0,1.701,3.242
877,2.508,0.58,0.941,0.0,0,1.701,3.345
878,2.251,0.638,0.871,1.0,0,1.61,4.416
879,2.094,0.827,0.86,0.0,0,1.886,4.239
880,3.739,0.33080000000000004,1.25,2.0,2,3.267,4.638
881,3.332,0.134,1.519,0.0,0,2.51,3.415
882,2.43,0.496,0.946,0.0,0,2.241,3.441
883,2.815,0.56,1.585,1.0,1,0.43,4.59
886,3.86,0.223,1.429,0.0,0,2.502,3.919
890,2.16,1.16,1.607,0.0,0,1.94,3.13
893,3.401,0.732,1.185,0.0,1,2.791,3.529
894,2.086,1.501,0.766,0.0,0,3.909,6.093
897,3.101,1.535,1.326,0.0,1,1.655,6.238
903,2.801,0.728,2.226,0.0,2,0.736,3.109
